model,top1,multi_label_acc,param_count,type1,type2,img_size,time,spearman,spearman_std
volo_d4_224.sail_in1k,85.872,0.9466,192.96,hybrid,none,224,2856.880208,0.20961473,0.104145191
volo_d5_224.sail_in1k,86.07,0.9489,295.46,hybrid,none,224,3657.864961,0.231745543,0.104357529
wide_resnet50_2_l2_eps0.01,77.25,0.8597,68.88,adv,l2,224,2835.341276,0.436108664,0.068148921
wide_resnet50_2_l2_eps0.03,77.26,0.8648,68.88,adv,l2,224,2749.333581,0.465359281,0.068036417
wide_resnet50_2_l2_eps0.05,77.17,0.8617,68.88,adv,l2,224,2761.890074,0.476397409,0.066219898
wide_resnet50_2_l2_eps0.1,76.74,0.8611,68.88,adv,l2,224,2712.70304,0.485412586,0.066084745
wide_resnet50_2_l2_eps0.25,76.21,0.8553,68.88,adv,l2,224,2702.598145,0.484405772,0.065701344
wide_resnet50_2_l2_eps0.5,75.11,0.8447,68.88,adv,l2,224,2734.203624,0.478059767,0.064731327
wide_resnet50_2_l2_eps1,73.41,0.8256,68.88,adv,l2,224,2738.519557,0.469025294,0.063752624
wide_resnet50_2_l2_eps3,69.9,0.7584,68.88,adv,l2,224,2738.826985,0.427252388,0.063303415
wide_resnet50_2_l2_eps5,60.94,0.691,68.88,adv,l2,224,2731.819703,0.402208608,0.064228495
wide_resnet50_2_linf_eps0.5,75.82,0.8519,68.88,adv,linf,224,2873.284337,0.525885052,0.048891397
